pos	label	time	x	y	area	state	auto_type	final_state	is_fresh
010	1	1	156.0	206.0	554.0	P	0	L	False
010	1	2	155.0	206.0	531.0	S	0	L	False
010	1	3	154.0	204.0	568.0	P	1	L	False
010	1	4	153.0	206.0	584.0	P	0	L	False
010	1	5	153.0	206.0	533.0	S	1	L	False
010	1	6	154.0	206.0	563.0	P	0	L	False
010	1	7	153.0	206.0	581.0	P	0	L	False
010	1	8	153.0	206.0	559.0	S	1	L	False
010	1	9	153.0	206.0	569.0	P	0	L	False
010	1	10	152.0	206.0	609.0	P	1	L	False
010	1	11	151.0	207.0	546.0	S	1	L	False
010	1	12	150.0	207.0	577.0	P	0	L	False
010	1	13	150.0	207.0	611.0	P	0	L	False
010	1	14	150.0	206.0	583.0	S	1	L	False
010	1	15	149.0	205.0	595.0	P	0	L	False
010	1	16	149.0	205.0	622.0	P	0	L	False
010	1	17	149.0	206.0	628.0	P	0	L	False
010	1	18	148.0	206.0	625.0	S	1	L	False
010	1	19	148.0	205.0	610.0	P	0	L	False
010	1	20	148.0	206.0	637.0	P	0	L	False
010	1	21	149.0	206.0	646.0	P	0	L	False
010	1	22	148.0	207.0	629.0	S	1	L	False
010	1	23	149.0	206.0	627.0	P	0	L	False
010	1	24	149.0	206.0	661.0	P	0	L	False
010	1	25	148.0	206.0	683.0	P	0	L	False
010	1	26	149.0	207.0	660.0	S	1	L	False
010	1	27	149.0	206.0	660.0	P	0	L	False
010	1	28	151.0	206.0	654.0	P	0	L	False
010	1	29	151.0	206.0	712.0	P	0	L	False
010	1	30	149.0	204.0	693.0	P	0	L	False
010	1	31	151.0	204.0	664.0	S	0	L	False
010	1	32	151.0	204.0	686.0	P	0	L	False
010	1	33	150.0	203.0	712.0	P	0	L	False
010	1	34	147.0	200.0	724.0	P	1	L	False
010	1	35	149.0	204.0	701.0	S	1	L	False
010	1	36	149.0	204.0	713.0	P	0	L	False
010	1	37	149.0	204.0	742.0	P	0	L	False
010	1	38	149.0	204.0	740.0	P	0	L	False
010	1	39	149.0	203.0	687.0	S	0	L	False
010	1	40	149.0	203.0	736.0	P	0	L	False
010	1	41	148.0	204.0	771.0	P	0	L	False
010	1	42	149.0	204.0	809.0	P	0	L	False
010	1	43	149.0	204.0	844.0	P	0	L	False
010	1	44	149.0	203.0	849.0	P	0	L	False
010	1	45	148.0	203.0	775.0	S	1	L	False
010	1	46	149.0	204.0	763.0	P	0	L	False
010	1	47	148.0	204.0	777.0	P	0	L	False
010	1	48	148.0	204.0	791.0	P	0	L	False
010	1	49	148.0	204.0	797.0	P	0	L	False
010	1	50	147.0	203.0	877.0	P	0	L	False
010	1	51	145.0	203.0	790.0	S	1	L	False
010	1	52	152.0	208.0	1275.0	P	0	L	False
010	1	53	151.0	207.0	1270.0	P	0	L	False
010	1	54	150.0	208.0	1311.0	P	0	L	False
010	1	55	151.0	209.0	1308.0	P	0	L	False
010	1	56	151.0	208.0	1317.0	P	0	L	False
010	1	57	150.0	207.0	1313.0	S	1	L	False
010	1	58	150.0	208.0	1275.0	P	0	L	False
010	1	59	147.0	208.0	1256.0	P	0	L	False
010	1	60	146.0	207.0	1248.0	P	0	L	False
010	1	61	141.0	201.0	755.0	P	0	L	False
010	1	62	146.0	208.0	1257.0	P	0	L	False
010	1	63	140.0	203.0	783.0	S	1	L	False
010	1	64	140.0	203.0	815.0	P	0	L	False
010	1	65	139.0	203.0	838.0	P	0	L	False
010	1	66	140.0	203.0	828.0	P	0	L	False
010	1	67	139.0	203.0	829.0	S	1	L	False
010	1	68	146.0	207.0	1347.0	P	0	L	False
010	1	69	140.0	203.0	879.0	P	0	L	False
010	1	70	140.0	202.0	819.0	S	1	L	False
010	1	71	140.0	202.0	813.0	P	0	L	False
010	1	72	140.0	202.0	823.0	P	0	L	False
010	1	73	140.0	201.0	820.0	P	0	L	False
010	1	74	142.0	199.0	851.0	P	0	L	False
010	1	75	143.0	199.0	893.0	P	0	L	False
010	1	76	142.0	199.0	839.0	S	1	L	False
010	1	77	142.0	199.0	886.0	P	0	L	False
010	1	78	141.0	200.0	907.0	P	1	L	False
010	1	79	141.0	199.0	943.0	P	0	L	False
010	1	80	141.0	199.0	955.0	P	0	L	False
010	1	81	141.0	199.0	947.0	S	1	L	False
010	1	82	140.0	200.0	917.0	P	0	L	False
010	1	83	139.0	199.0	879.0	P	0	L	False
010	1	84	139.0	200.0	843.0	P	0	L	False
010	1	85	141.0	201.0	950.0	P	0	L	False
010	1	86	141.0	200.0	930.0	S	1	L	False
010	1	87	141.0	201.0	923.0	P	0	L	False
010	1	88	141.0	201.0	939.0	P	0	L	False
010	1	89	140.0	201.0	960.0	P	0	L	False
010	1	90	141.0	201.0	968.0	P	0	L	False
010	1	91	140.0	201.0	991.0	P	0	L	False
010	1	92	141.0	202.0	943.0	S	1	L	False
010	1	93	142.0	203.0	934.0	P	0	L	False
010	1	94	141.0	202.0	892.0	P	0	L	False
010	1	95	142.0	202.0	993.0	P	0	L	False
010	1	96	142.0	201.0	972.0	P	0	L	False
010	1	97	141.0	200.0	1016.0	P	0	L	False
010	1	98	140.0	199.0	1054.0	P	0	L	False
010	1	99	137.0	198.0	1018.0	P	0	L	False
010	1	100	138.0	199.0	1028.0	S	1	L	False
010	1	101	140.0	200.0	991.0	P	0	L	False
010	1	102	139.0	201.0	1026.0	P	0	L	False
010	1	103	139.0	200.0	1024.0	P	0	L	False
010	1	104	145.0	195.0	1561.0	P	0	L	False
010	1	105	137.0	201.0	928.0	P	0	L	False
010	1	106	140.0	201.0	966.0	P	0	L	False
010	1	107	139.0	200.0	1004.0	S	1	L	False
010	1	108	140.0	200.0	963.0	P	0	L	False
010	1	109	141.0	200.0	995.0	P	0	L	False
010	1	110	141.0	199.0	1021.0	P	0	L	False
010	1	111	141.0	199.0	1061.0	P	0	L	False
010	1	112	141.0	200.0	1041.0	P	0	L	False
010	1	113	146.0	196.0	1600.0	P	0	L	False
010	1	114	142.0	200.0	1061.0	P	0	L	False
010	1	115	143.0	201.0	1060.0	S	1	L	False
010	1	116	145.0	200.0	1049.0	P	0	L	False
010	1	117	144.0	200.0	1052.0	P	0	L	False
010	1	118	149.0	196.0	1601.0	P	0	L	False
010	1	119	148.0	195.0	1596.0	P	0	L	False
010	1	120	144.0	199.0	1072.0	P	0	L	False
010	1	121	149.0	195.0	1641.0	P	0	L	False
010	1	122	145.0	198.0	1261.0	P	1	L	False
010	1	123	144.0	195.0	1098.0	S	0	L	False
010	1	124	152.0	199.0	1630.0	P	0	L	False
010	1	125	145.0	194.0	1104.0	P	0	L	False
010	1	126	145.0	195.0	1161.0	P	0	L	False
010	1	127	149.0	189.0	1617.0	P	0	L	False
010	1	128	145.0	197.0	1018.0	P	0	L	False
010	1	129	148.0	188.0	1714.0	P	0	L	False
010	1	130	147.0	197.0	1333.0	S	1	L	False
010	1	131	150.0	197.0	1524.0	P	0	L	False
010	1	132	146.0	195.0	1064.0	P	0	L	False
010	1	133	146.0	195.0	1115.0	P	0	L	False
010	1	134	146.0	196.0	1125.0	P	1	L	False
010	1	135	147.0	196.0	1132.0	P	0	L	False
010	1	136	147.0	197.0	1155.0	P	0	L	False
010	1	137	149.0	203.0	1494.0	S	0	L	False
010	1	138	149.0	209.0	1671.0	P	0	L	False
010	1	139	146.0	201.0	995.0	P	0	L	False
010	1	140	149.0	211.0	1562.0	P	0	L	False
010	1	141	149.0	210.0	1690.0	P	0	L	False
010	1	142	149.0	209.0	1778.0	P	0	L	False
010	1	143	149.0	209.0	1844.0	P	0	L	False
010	10	1	134.0	146.0	555.0	S	1	L	False
010	10	2	133.0	145.0	557.0	P	0	L	False
010	10	3	132.0	145.0	561.0	P	0	L	False
010	10	4	131.0	146.0	521.0	S	1	L	False
010	10	5	130.0	146.0	512.0	P	0	L	False
010	10	6	130.0	146.0	541.0	P	0	L	False
010	10	7	130.0	146.0	556.0	S	1	L	False
010	10	8	131.0	146.0	530.0	P	0	L	False
010	10	9	130.0	145.0	550.0	P	0	L	False
010	10	10	128.0	144.0	599.0	P	0	L	False
010	10	11	129.0	144.0	571.0	S	1	L	False
010	10	12	126.0	145.0	557.0	P	1	L	False
010	10	13	121.0	147.0	543.0	P	0	L	False
010	10	14	120.0	146.0	587.0	P	0	L	False
010	10	15	120.0	144.0	622.0	P	0	L	False
010	10	16	119.0	147.0	565.0	S	1	L	False
010	10	17	119.0	148.0	530.0	P	0	L	False
010	10	18	119.0	148.0	567.0	P	0	L	False
010	10	19	118.0	147.0	583.0	P	0	L	False
010	10	20	119.0	147.0	609.0	S	1	L	False
010	10	21	118.0	147.0	556.0	P	0	L	False
010	10	22	117.0	147.0	555.0	P	0	L	False
010	10	23	118.0	146.0	591.0	P	0	L	False
010	10	24	118.0	146.0	637.0	P	0	L	False
010	10	25	118.0	146.0	592.0	S	1	L	False
010	10	26	118.0	146.0	579.0	P	0	L	False
010	10	27	118.0	146.0	626.0	P	0	L	False
