i,time,pos,duration
107,2018-03-23 01:56:19.162038200,P106,1.96
108,2018-03-23 01:56:22.026202000,P107,2.18
109,2018-03-23 01:56:25.134379700,P108,1.55
110,2018-03-23 01:56:27.590520200,P109,1.51
111,2018-03-23 01:56:30.143666300,P110,2.21
112,2018-03-23 01:56:33.262844700,P111,1.95
113,2018-03-23 01:56:36.152009900,P112,1.95
114,2018-03-23 01:56:39.016173700,P113,2.37
115,2018-03-23 01:56:42.298361500,P114,2.66
116,2018-03-23 01:56:46.063576800,P115,1.95
117,2018-03-23 01:56:48.949741900,P116,2.65
118,2018-03-23 01:56:52.506945400,P117,2.63
119,2018-03-23 01:56:56.073149300,P118,1.97
120,2018-03-23 01:56:58.983315800,P119,1.96
121,2018-03-23 01:57:01.868480800,P120,2.19
122,2018-03-23 01:57:04.959657600,P121,1.47
123,2018-03-23 01:57:07.416798200,P122,1.95
124,2018-03-23 01:57:10.289962500,P123,1.98
125,2018-03-23 01:57:13.203129100,P124,1.54
126,2018-03-23 01:57:15.929285100,P125,1.7
127,2018-03-23 01:57:18.624439200,P126,2.01
128,2018-03-23 01:57:21.610610000,P127,1.49
129,2018-03-23 01:57:24.015747600,P128,1.99
130,2018-03-23 01:57:26.949915400,P129,2.39
131,2018-03-23 01:57:30.269105200,P130,1.75
132,2018-03-23 01:57:32.930257500,P131,1.72
133,2018-03-23 01:57:35.642412600,P132,1.52
134,2018-03-23 01:57:38.099553100,P133,1.97
135,2018-03-23 01:57:41.000719100,P134,2.19
136,2018-03-23 01:57:44.090895800,P135,1.99
137,2018-03-23 01:57:47.100067900,P136,1.7
138,2018-03-23 01:57:49.734218600,P137,1.71
139,2018-03-23 01:57:52.340367600,P138,1.48
140,2018-03-23 01:57:54.739504900,P139,1.47
141,2018-03-23 01:57:57.144642400,P140,1.49
142,2018-03-23 01:57:59.544779700,P141,2.21
143,2018-03-23 01:58:02.957974900,P142,2.42
144,2018-03-23 01:58:06.314166900,P143,2.21
145,2018-03-23 01:58:09.441345800,P144,1.96
146,2018-03-23 01:58:12.308509800,P145,1.71
147,2018-03-23 01:58:14.931659800,P146,1.53
148,2018-03-23 01:58:17.414801800,P147,2.0
149,2018-03-23 01:58:20.344969400,P148,1.93
150,2018-03-23 01:58:23.172131100,P149,1.49
151,2018-03-23 01:58:25.517265300,P150,1.49
152,2018-03-23 01:58:27.977406000,P151,2.22
153,2018-03-23 01:58:31.132586400,P152,2.22
154,2018-03-23 01:58:34.239764200,P153,1.49
155,2018-03-23 01:58:36.679903700,P154,1.98
156,2018-03-23 01:58:39.571069100,P155,1.5
157,2018-03-23 01:58:42.010208600,P156,2.67
158,2018-03-23 01:58:45.628415500,P157,1.49
159,2018-03-23 01:58:48.054554300,P158,1.95
160,2018-03-23 01:58:50.991722300,P159,2.02
161,2018-03-23 01:58:53.998894300,P160,1.95
162,2018-03-23 01:58:56.884059300,P161,1.54
163,2018-03-23 01:58:59.348200300,P162,2.41
164,2018-03-23 01:59:02.893403000,P163,1.49
165,2018-03-23 01:59:05.298540600,P164,1.47
166,2018-03-23 01:59:07.668676200,P165,1.49
167,2018-03-23 01:59:10.086814500,P166,1.51
168,2018-03-23 01:59:12.496952300,P167,1.48
169,2018-03-23 01:59:14.865087800,P168,1.94
170,2018-03-23 01:59:17.936263500,P169,1.95
171,2018-03-23 01:59:20.820428400,P170,2.03
172,2018-03-23 01:59:23.764596800,P171,1.71
173,2018-03-23 01:59:26.367745700,P172,2.15
174,2018-03-23 01:59:29.444921700,P173,1.47
175,2018-03-23 01:59:31.865060100,P174,1.94
176,2018-03-23 01:59:34.702222400,P175,4.16
177,2018-03-23 01:59:39.753511300,P176,1.49
178,2018-03-23 01:59:42.187650600,P177,2.2
179,2018-03-23 01:59:45.288827900,P178,2.36
180,2018-03-23 01:59:48.593016900,P179,1.95
181,2018-03-23 01:59:51.504183400,P180,1.94
182,2018-03-23 01:59:54.348346100,P181,1.49
183,2018-03-23 01:59:56.773484800,P182,2.44
184,2018-03-23 02:00:00.139677300,P183,2.15
185,2018-03-23 02:00:03.193852000,P184,3.09
186,2018-03-23 02:00:07.196081000,P185,1.48
187,2018-03-23 02:00:09.617219400,P186,1.95
188,2018-03-23 02:00:12.485383500,P187,1.48
189,2018-03-23 02:00:14.879520400,P188,2.16
190,2018-03-23 02:00:17.946695900,P189,1.94
191,2018-03-23 02:00:20.998870400,P190,1.95
192,2018-03-23 02:00:23.841033000,P191,1.51
193,2018-03-23 02:00:26.295173400,P192,1.51
194,2018-03-23 02:00:28.734312900,P193,1.99
195,2018-03-23 02:00:31.634478700,P194,2.44
196,2018-03-23 02:00:35.231684500,P195,1.98
197,2018-03-23 02:00:38.118849600,P196,2.2
198,2018-03-23 02:00:41.262029400,P197,1.71
199,2018-03-23 02:00:43.931182100,P198,1.56
200,2018-03-23 02:00:46.471327400,P199,1.94
201,2018-03-23 02:00:49.356492400,P200,1.74
202,2018-03-23 02:00:52.027645200,P201,1.5
203,2018-03-23 02:00:54.441783300,P202,1.47
204,2018-03-23 02:00:56.835920200,P203,2.17
205,2018-03-23 02:00:59.964099100,P204,2.23
206,2018-03-23 02:01:03.137280600,P205,1.96
207,2018-03-23 02:01:06.146452700,P206,2.59
208,2018-03-23 02:01:09.651653200,P207,1.48
209,2018-03-23 02:01:12.053790600,P208,2.22
210,2018-03-23 02:01:15.203970800,P209,1.49
211,2018-03-23 02:01:17.649110600,P210,2.2
212,2018-03-23 02:01:20.762288700,P211,1.53
213,2018-03-23 02:01:23.204428400,P212,2.24
214,2018-03-23 02:01:26.385610300,P213,1.98
215,2018-03-23 02:01:29.318778100,P214,1.52
216,2018-03-23 02:01:31.767918200,P215,1.49
217,2018-03-23 02:01:34.190056700,P216,1.94
218,2018-03-23 02:01:37.265232600,P217,2.01
219,2018-03-23 02:01:40.193400100,P218,2.0
220,2018-03-23 02:01:43.141568700,P219,1.51
221,2018-03-23 02:01:45.625710800,P220,1.97
222,2018-03-23 02:01:48.536877300,P221,1.47
223,2018-03-23 02:01:50.938014700,P222,1.57
224,2018-03-23 02:01:53.427157000,P223,1.47
225,2018-03-23 02:01:55.829294400,P224,2.4
226,2018-03-23 02:01:59.202487400,P225,1.48
227,2018-03-23 02:02:01.628626100,P226,1.92
228,2018-03-23 02:02:04.530792100,P227,1.93
229,2018-03-23 02:02:07.495961700,P228,1.48
230,2018-03-23 02:02:09.898099100,P229,1.7
231,2018-03-23 02:02:12.538250100,P230,1.97
232,2018-03-23 02:02:15.426415300,P231,1.97
233,2018-03-23 02:02:18.309580200,P232,1.93
234,2018-03-23 02:02:21.420758200,P233,3.34
235,2018-03-23 02:02:25.743005400,P234,2.19
236,2018-03-23 02:02:28.900186000,P235,1.97
237,2018-03-23 02:02:31.795351600,P236,1.49
238,2018-03-23 02:02:34.245491700,P237,1.95
239,2018-03-23 02:02:37.307666800,P238,1.53
240,2018-03-23 02:02:39.824810800,P239,1.95
241,2018-03-23 02:02:42.713976100,P240,1.51
242,2018-03-23 02:02:45.187117500,P241,2.43
243,2018-03-23 02:02:48.563310600,P242,1.96
244,2018-03-23 02:02:51.468476800,P243,1.55
245,2018-03-23 02:02:54.235635100,P243,0.96
246,2018-03-23 02:03:04.230206700,P243,1.41
247,2018-03-23 02:03:14.230778700,P243,0.97
248,2018-03-23 02:03:24.229350600,P243,1.63
249,2018-03-23 02:03:34.229922600,P243,0.98
250,2018-03-23 02:03:44.229494600,P243,0.97
251,2018-03-23 02:03:54.231066600,P243,0.97
252,2018-03-23 02:04:04.229638500,P243,0.98
253,2018-03-23 02:04:14.229210400,P243,0.98
254,2018-03-23 02:04:24.229782400,P243,0.98
255,2018-03-23 02:04:34.230354400,P243,0.98
256,2018-03-23 02:04:44.229926400,P243,0.98
257,2018-03-23 02:04:54.229498300,P243,0.98
258,2018-03-23 02:05:04.231070400,P243,0.98
259,2018-03-23 02:05:14.228642200,P243,0.97
260,2018-03-23 02:05:24.229214200,P243,1.65
261,2018-03-23 02:05:34.229786200,P243,0.97
262,2018-03-23 02:05:44.229358200,P243,0.98
263,2018-03-23 02:05:54.228930100,P243,0.97
264,2018-03-23 02:06:04.228502000,P243,0.98
265,2018-03-23 02:06:12.328965400,P1,2.02
266,2018-03-23 02:06:15.328136900,P2,2.19
267,2018-03-23 02:06:18.435314600,P3,1.51
268,2018-03-23 02:06:20.916456500,P4,1.96
269,2018-03-23 02:06:23.826623000,P5,2.21
270,2018-03-23 02:06:26.963802400,P6,1.51
271,2018-03-23 02:06:29.396941600,P7,2.42
272,2018-03-23 02:06:32.764134200,P8,1.51
273,2018-03-23 02:06:35.244276000,P9,2.13
274,2018-03-23 02:06:38.317451800,P10,1.5
275,2018-03-23 02:06:40.749590900,P11,2.65
276,2018-03-23 02:06:44.347796700,P12,1.5
277,2018-03-23 02:06:46.999948400,P13,2.9
278,2018-03-23 02:06:50.891171000,P14,1.96
279,2018-03-23 02:06:53.718332700,P15,1.71
280,2018-03-23 02:06:56.340482700,P16,1.93
281,2018-03-23 02:06:59.199646200,P17,1.7
282,2018-03-23 02:07:01.932802500,P18,1.96
283,2018-03-23 02:07:04.791966100,P19,1.95
284,2018-03-23 02:07:07.656129900,P20,2.18
285,2018-03-23 02:07:10.782308700,P21,1.49
286,2018-03-23 02:07:13.156444500,P22,1.51
287,2018-03-23 02:07:15.551581500,P23,2.19
288,2018-03-23 02:07:18.646758500,P24,1.94
289,2018-03-23 02:07:21.513922500,P25,2.85
290,2018-03-23 02:07:25.268137200,P26,2.41
291,2018-03-23 02:07:28.598327700,P27,2.14
292,2018-03-23 02:07:31.650502300,P28,3.17
293,2018-03-23 02:07:35.725735400,P29,2.42
294,2018-03-23 02:07:39.095928100,P30,1.5
295,2018-03-23 02:07:41.533067500,P31,1.49
296,2018-03-23 02:07:43.932204800,P32,1.71
297,2018-03-23 02:07:46.578356100,P33,1.47
298,2018-03-23 02:07:49.154503500,P34,1.93
299,2018-03-23 02:07:51.976664900,P35,1.98
300,2018-03-23 02:07:54.874830600,P36,1.76
301,2018-03-23 02:07:57.600986600,P37,1.97
302,2018-03-23 02:08:00.491151900,P38,1.48
303,2018-03-23 02:08:02.908290100,P39,1.53
304,2018-03-23 02:08:05.347429600,P40,1.5
305,2018-03-23 02:08:07.804570200,P41,2.22
306,2018-03-23 02:08:10.946749900,P42,1.49
307,2018-03-23 02:08:13.427891800,P43,2.45
308,2018-03-23 02:08:16.815085600,P44,2.63
309,2018-03-23 02:08:20.378289400,P45,1.77
310,2018-03-23 02:08:23.106445400,P46,2.01
311,2018-03-23 02:08:26.011611600,P47,1.99
312,2018-03-23 02:08:28.932778700,P48,1.73
313,2018-03-23 02:08:31.557928800,P49,2.42
314,2018-03-23 02:08:35.013126400,P50,1.73
315,2018-03-23 02:08:37.627275900,P51,1.99
316,2018-03-23 02:08:40.540442600,P52,2.42
317,2018-03-23 02:08:43.874633300,P53,1.5
318,2018-03-23 02:08:46.324773400,P54,1.51
319,2018-03-23 02:08:48.726910800,P55,1.54
320,2018-03-23 02:08:51.223053600,P56,2.17
321,2018-03-23 02:08:54.325231000,P57,1.54
322,2018-03-23 02:08:56.755370000,P58,1.53
323,2018-03-23 02:08:59.237512000,P59,1.49
324,2018-03-23 02:09:01.606647500,P60,2.63
325,2018-03-23 02:09:05.116848300,P61,2.03
326,2018-03-23 02:09:08.042015600,P62,1.76
327,2018-03-23 02:09:10.753170600,P63,1.5
328,2018-03-23 02:09:13.138307100,P64,1.49
329,2018-03-23 02:09:15.563445800,P65,1.54
330,2018-03-23 02:09:18.034587100,P66,1.53
331,2018-03-23 02:09:20.633735800,P67,2.2
332,2018-03-23 02:09:23.735913200,P68,1.52
333,2018-03-23 02:09:26.175052700,P69,1.5
334,2018-03-23 02:09:28.585190600,P70,1.48
335,2018-03-23 02:09:30.960326400,P71,2.15
336,2018-03-23 02:09:34.023501600,P72,1.45
337,2018-03-23 02:09:36.580647900,P73,1.47
338,2018-03-23 02:09:38.946783200,P74,1.49
339,2018-03-23 02:09:41.380922400,P75,1.97
340,2018-03-23 02:09:44.286088600,P76,1.56
341,2018-03-23 02:09:46.782231400,P77,2.16
342,2018-03-23 02:09:49.872408100,P78,1.51
343,2018-03-23 02:09:52.283546000,P79,1.96
344,2018-03-23 02:09:55.199712800,P80,1.95
345,2018-03-23 02:09:58.094878400,P81,1.47
346,2018-03-23 02:10:00.484015100,P82,1.47
347,2018-03-23 02:10:02.847150200,P83,2.16
348,2018-03-23 02:10:06.095336000,P84,1.52
349,2018-03-23 02:10:08.528475200,P85,2.63
350,2018-03-23 02:10:12.086678700,P86,1.48
351,2018-03-23 02:10:14.488816100,P87,1.98
352,2018-03-23 02:10:17.416983600,P88,2.18
353,2018-03-23 02:10:20.491159400,P89,1.5
354,2018-03-23 02:10:22.913298000,P90,2.18
355,2018-03-23 02:10:25.992474100,P91,1.5
356,2018-03-23 02:10:28.427613400,P92,1.95
357,2018-03-23 02:10:31.338779900,P93,2.45
358,2018-03-23 02:10:34.681971100,P94,2.45
359,2018-03-23 02:10:38.217173300,P95,1.93
360,2018-03-23 02:10:41.047335200,P96,1.96
361,2018-03-23 02:10:43.878497100,P97,1.92
362,2018-03-23 02:10:46.684657600,P98,2.37
363,2018-03-23 02:10:49.966845300,P99,1.99
364,2018-03-23 02:10:53.058022100,P100,1.52
365,2018-03-23 02:10:55.518162900,P101,1.97
366,2018-03-23 02:10:58.446330300,P102,1.98
367,2018-03-23 02:11:01.309494100,P103,1.98
368,2018-03-23 02:11:04.218660500,P104,1.94
369,2018-03-23 02:11:07.111826000,P105,1.47
370,2018-03-23 02:11:09.540964900,P106,1.98
371,2018-03-23 02:11:12.441130800,P107,1.7
372,2018-03-23 02:11:15.041279500,P108,2.42
373,2018-03-23 02:11:18.339468200,P109,2.37
374,2018-03-23 02:11:21.637656800,P110,1.51
375,2018-03-23 02:11:24.062795500,P111,1.47
376,2018-03-23 02:11:26.434931200,P112,1.96
377,2018-03-23 02:11:29.344097600,P113,1.55
378,2018-03-23 02:11:31.831239800,P114,2.14
379,2018-03-23 02:11:34.918416400,P115,2.19
380,2018-03-23 02:11:38.056595900,P116,1.96
381,2018-03-23 02:11:40.927760100,P117,2.45
382,2018-03-23 02:11:44.286952300,P118,2.17
383,2018-03-23 02:11:47.380129200,P119,1.95
384,2018-03-23 02:11:50.283295200,P120,1.92
385,2018-03-23 02:11:53.093456000,P121,1.94
386,2018-03-23 02:11:55.951619500,P122,1.96
387,2018-03-23 02:11:58.814783200,P123,1.5
388,2018-03-23 02:12:01.268923600,P124,2.17
389,2018-03-23 02:12:04.378101400,P125,1.5
390,2018-03-23 02:12:06.830241700,P126,2.39
391,2018-03-23 02:12:10.311440800,P127,2.0
392,2018-03-23 02:12:13.264609700,P128,1.94
393,2018-03-23 02:12:16.121773100,P129,2.68
394,2018-03-23 02:12:19.749980600,P130,1.52
395,2018-03-23 02:12:22.179119600,P131,1.75
396,2018-03-23 02:12:24.897275000,P132,2.45
397,2018-03-23 02:12:28.308470200,P133,2.43
398,2018-03-23 02:12:31.709664700,P134,1.75
399,2018-03-23 02:12:34.361816400,P135,2.67
400,2018-03-23 02:12:37.959022100,P136,1.98
401,2018-03-23 02:12:41.071200100,P137,1.76
402,2018-03-23 02:12:43.746353200,P138,1.48
403,2018-03-23 02:12:46.109488300,P139,2.24
404,2018-03-23 02:12:49.270669100,P140,1.48
405,2018-03-23 02:12:51.711808800,P141,1.51
406,2018-03-23 02:12:54.170949400,P142,2.89
407,2018-03-23 02:12:57.980167300,P143,2.2
408,2018-03-23 02:13:01.087345000,P144,1.53
409,2018-03-23 02:13:03.503483200,P145,1.48
410,2018-03-23 02:13:05.887619600,P146,1.49
411,2018-03-23 02:13:08.288756900,P147,1.53
412,2018-03-23 02:13:10.753897900,P148,1.5
413,2018-03-23 02:13:13.160035500,P149,1.48
414,2018-03-23 02:13:15.450166500,P150,1.48
415,2018-03-23 02:13:17.900306600,P151,1.99
416,2018-03-23 02:13:20.860476000,P152,1.91
417,2018-03-23 02:13:23.673636900,P153,1.97
418,2018-03-23 02:13:26.626805800,P154,1.96
419,2018-03-23 02:13:29.512970900,P155,1.47
420,2018-03-23 02:13:31.948110100,P156,2.16
421,2018-03-23 02:13:35.045287300,P157,1.49
422,2018-03-23 02:13:37.443424400,P158,1.98
423,2018-03-23 02:13:40.324589200,P159,2.15
424,2018-03-23 02:13:43.530772600,P160,1.47
425,2018-03-23 02:13:45.947910900,P161,1.99
426,2018-03-23 02:13:48.859077400,P162,2.13
427,2018-03-23 02:13:51.909251800,P163,2.66
428,2018-03-23 02:13:55.461455000,P164,1.51
429,2018-03-23 02:13:58.078604700,P165,1.94
430,2018-03-23 02:14:00.949768900,P166,1.93
431,2018-03-23 02:14:03.751929200,P167,1.95
432,2018-03-23 02:14:06.641094500,P168,2.17
433,2018-03-23 02:14:09.727271000,P169,1.48
434,2018-03-23 02:14:12.153409700,P170,1.93
435,2018-03-23 02:14:14.986571800,P171,1.92
436,2018-03-23 02:14:17.832734600,P172,1.48
437,2018-03-23 02:14:20.192869600,P173,1.54
438,2018-03-23 02:14:22.671011300,P174,1.52
439,2018-03-23 02:14:25.114151100,P175,1.98
440,2018-03-23 02:14:27.994315800,P176,1.51
441,2018-03-23 02:14:30.414454200,P177,2.85
442,2018-03-23 02:14:34.180669600,P178,1.93
443,2018-03-23 02:14:37.067834800,P179,1.54
444,2018-03-23 02:14:39.531975700,P180,2.39
445,2018-03-23 02:14:42.841165000,P181,1.93
446,2018-03-23 02:14:45.672326900,P182,1.72
447,2018-03-23 02:14:48.298477100,P183,1.92
448,2018-03-23 02:14:51.140639700,P184,2.16
449,2018-03-23 02:14:54.206815100,P185,2.19
450,2018-03-23 02:14:57.296991800,P186,1.92
451,2018-03-23 02:15:00.318164600,P187,2.22
452,2018-03-23 02:15:03.445343500,P188,1.54
453,2018-03-23 02:15:05.878482600,P189,1.51
454,2018-03-23 02:15:08.288620500,P190,2.67
455,2018-03-23 02:15:11.885826200,P191,1.96
456,2018-03-23 02:15:14.752990200,P192,2.41
457,2018-03-23 02:15:18.119182800,P193,1.98
458,2018-03-23 02:15:20.989346900,P194,1.54
459,2018-03-23 02:15:23.518491600,P195,2.17
460,2018-03-23 02:15:26.614668700,P196,1.48
461,2018-03-23 02:15:28.989804500,P197,2.01
462,2018-03-23 02:15:32.111983100,P198,1.5
463,2018-03-23 02:15:34.547122400,P199,1.5
464,2018-03-23 02:15:36.986261900,P200,2.45
465,2018-03-23 02:15:40.341453800,P201,1.47
466,2018-03-23 02:15:42.717589700,P202,1.97
467,2018-03-23 02:15:45.624756000,P203,2.38
468,2018-03-23 02:15:48.965947100,P204,1.72
469,2018-03-23 02:15:51.618098800,P205,2.01
470,2018-03-23 02:15:54.540265900,P206,1.48
471,2018-03-23 02:15:56.943403400,P207,2.0
472,2018-03-23 02:15:59.844569300,P208,1.74
473,2018-03-23 02:16:02.719733800,P209,2.17
474,2018-03-23 02:16:05.813910800,P210,2.63
475,2018-03-23 02:16:09.354113200,P211,1.95
476,2018-03-23 02:16:12.292281300,P212,1.49
477,2018-03-23 02:16:14.730420800,P213,1.51
478,2018-03-23 02:16:17.397573300,P214,1.74
479,2018-03-23 02:16:20.035724200,P215,1.51
480,2018-03-23 02:16:22.446862100,P216,1.95
481,2018-03-23 02:16:25.352028300,P217,1.99
482,2018-03-23 02:16:28.262194700,P218,1.52
483,2018-03-23 02:16:30.718335200,P219,1.5
484,2018-03-23 02:16:33.386487800,P220,2.16
485,2018-03-23 02:16:36.471664300,P221,1.7
486,2018-03-23 02:16:39.065812700,P222,1.48
487,2018-03-23 02:16:41.459949600,P223,1.95
488,2018-03-23 02:16:44.376116400,P224,1.97
489,2018-03-23 02:16:47.302283800,P225,1.48
490,2018-03-23 02:16:49.678419700,P226,1.56
491,2018-03-23 02:16:52.183562900,P227,2.38
492,2018-03-23 02:16:55.533754600,P228,2.19
493,2018-03-23 02:16:58.662933500,P229,1.62
494,2018-03-23 02:17:01.178077400,P230,2.03
495,2018-03-23 02:17:04.322257200,P231,1.51
496,2018-03-23 02:17:06.758396600,P232,1.93
497,2018-03-23 02:17:09.653562200,P233,3.58
498,2018-03-23 02:17:14.179821100,P234,2.2
499,2018-03-23 02:17:17.363003100,P235,2.9
500,2018-03-23 02:17:21.195222300,P236,1.96
501,2018-03-23 02:17:24.108388900,P237,1.77
502,2018-03-23 02:17:26.769541200,P238,2.0
503,2018-03-23 02:17:29.735710800,P239,2.2
504,2018-03-23 02:17:32.884890900,P240,1.76
505,2018-03-23 02:17:35.762055500,P241,1.71
506,2018-03-23 02:17:38.416207300,P242,2.2
507,2018-03-23 02:17:41.567387500,P243,2.0
508,2018-03-23 02:17:44.771570800,P243,2.8
509,2018-03-23 02:17:54.774142900,P243,2.1
510,2018-03-23 02:18:04.772714800,P243,1.91
511,2018-03-23 02:18:14.773286800,P243,1.86
512,2018-03-23 02:18:24.772858800,P243,1.44
513,2018-03-23 02:18:34.772430700,P243,0.97
514,2018-03-23 02:18:44.771002600,P243,0.97
515,2018-03-23 02:18:54.773574700,P243,0.98
516,2018-03-23 02:19:04.774146700,P243,0.97
517,2018-03-23 02:19:14.772718600,P243,0.98
518,2018-03-23 02:19:24.771290500,P243,0.97
519,2018-03-23 02:19:34.772862500,P243,0.98
520,2018-03-23 02:19:44.773434500,P243,0.98
521,2018-03-23 02:19:54.772006400,P243,0.97
522,2018-03-23 02:20:04.772578400,P243,2.38
523,2018-03-23 02:20:14.772150400,P243,0.98
524,2018-03-23 02:20:24.772722400,P243,0.98
525,2018-03-23 02:20:34.772294300,P243,0.97
526,2018-03-23 02:20:44.772866300,P243,0.97
527,2018-03-23 02:20:54.772438200,P243,0.97
528,2018-03-23 02:21:04.772010200,P243,0.98
529,2018-03-23 02:21:12.321442000,P1,2.26
530,2018-03-23 02:21:15.534625800,P2,2.47
531,2018-03-23 02:21:18.918819300,P3,2.39
532,2018-03-23 02:21:22.276011400,P4,2.66
533,2018-03-23 02:21:25.864216600,P5,1.73
534,2018-03-23 02:21:28.505367700,P6,1.95
535,2018-03-23 02:21:31.391532700,P7,1.56
536,2018-03-23 02:21:33.871674600,P8,2.41
537,2018-03-23 02:21:37.225866400,P9,2.23
538,2018-03-23 02:21:40.353045300,P10,1.51
