i,time,pos,duration
2,2018-03-23 01:51:12.168479100,P1,2.43
3,2018-03-23 01:51:15.811687500,P2,1.98
4,2018-03-23 01:51:18.758856100,P3,2.83
5,2018-03-23 01:51:22.756084700,P4,1.52
6,2018-03-23 01:51:25.212225200,P5,1.72
7,2018-03-23 01:51:27.854376300,P6,2.42
8,2018-03-23 01:51:31.175566300,P7,1.76
9,2018-03-23 01:51:33.894721800,P8,1.93
10,2018-03-23 01:51:36.777886700,P9,2.01
11,2018-03-23 01:51:39.716054800,P10,1.93
12,2018-03-23 01:51:42.582218700,P11,2.21
13,2018-03-23 01:51:45.746399700,P12,2.45
14,2018-03-23 01:51:49.152594500,P13,2.39
15,2018-03-23 01:51:52.482785000,P14,1.81
16,2018-03-23 01:51:55.176939100,P15,2.16
17,2018-03-23 01:51:58.258115300,P16,1.49
18,2018-03-23 01:52:00.669253200,P17,3.07
19,2018-03-23 01:52:04.632479900,P18,1.99
20,2018-03-23 01:52:07.565647700,P19,1.94
21,2018-03-23 01:52:10.454812900,P20,2.21
22,2018-03-23 01:52:13.647995600,P21,1.92
23,2018-03-23 01:52:16.448155700,P22,1.72
24,2018-03-23 01:52:19.054304800,P23,1.5
25,2018-03-23 01:52:21.481443600,P24,2.21
26,2018-03-23 01:52:24.770631700,P25,2.19
27,2018-03-23 01:52:27.891810300,P26,1.99
28,2018-03-23 01:52:30.819977700,P27,1.92
29,2018-03-23 01:52:33.694142100,P28,2.46
30,2018-03-23 01:52:37.084336000,P29,1.52
31,2018-03-23 01:52:39.501474300,P30,1.49
32,2018-03-23 01:52:41.940613800,P31,1.51
33,2018-03-23 01:52:44.358752100,P32,2.21
34,2018-03-23 01:52:47.499931800,P33,1.51
35,2018-03-23 01:52:49.938071200,P34,1.51
36,2018-03-23 01:52:52.345208900,P35,1.96
37,2018-03-23 01:52:55.203372400,P36,1.7
38,2018-03-23 01:52:57.870524900,P37,2.7
39,2018-03-23 01:53:01.524733900,P38,1.97
40,2018-03-23 01:53:04.417899400,P39,2.68
41,2018-03-23 01:53:08.055107500,P40,2.59
42,2018-03-23 01:53:11.602310300,P41,1.48
43,2018-03-23 01:53:14.041449900,P42,1.72
44,2018-03-23 01:53:16.730603700,P43,2.42
45,2018-03-23 01:53:20.104796700,P44,2.0
46,2018-03-23 01:53:23.051965200,P45,1.49
47,2018-03-23 01:53:25.620112100,P46,2.2
48,2018-03-23 01:53:28.733290200,P47,2.48
49,2018-03-23 01:53:32.135484800,P48,2.42
50,2018-03-23 01:53:35.459674900,P49,2.38
51,2018-03-23 01:53:38.742862700,P50,1.72
52,2018-03-23 01:53:41.519021500,P51,1.52
53,2018-03-23 01:53:43.958161000,P52,1.5
54,2018-03-23 01:53:46.370299000,P53,1.51
55,2018-03-23 01:53:48.858441300,P54,1.51
56,2018-03-23 01:53:51.333582800,P55,1.96
57,2018-03-23 01:53:54.247749500,P56,2.65
58,2018-03-23 01:53:57.819953800,P57,2.44
59,2018-03-23 01:54:01.182146200,P58,1.75
60,2018-03-23 01:54:03.850298800,P59,1.5
61,2018-03-23 01:54:06.261436700,P60,1.53
62,2018-03-23 01:54:08.715577000,P61,1.98
63,2018-03-23 01:54:11.737749900,P62,1.49
64,2018-03-23 01:54:14.202890900,P63,1.99
65,2018-03-23 01:54:17.094056300,P64,1.95
66,2018-03-23 01:54:19.954219900,P65,1.71
67,2018-03-23 01:54:22.566369300,P66,1.94
68,2018-03-23 01:54:25.452534300,P67,1.51
69,2018-03-23 01:54:27.868672500,P68,3.08
70,2018-03-23 01:54:31.868901300,P69,1.5
71,2018-03-23 01:54:34.302040500,P70,1.96
72,2018-03-23 01:54:37.143203000,P71,1.51
73,2018-03-23 01:54:39.560341300,P72,1.48
74,2018-03-23 01:54:42.176490900,P73,1.47
75,2018-03-23 01:54:44.577628200,P74,1.98
76,2018-03-23 01:54:47.523796700,P75,2.19
77,2018-03-23 01:54:50.630974500,P76,1.53
78,2018-03-23 01:54:53.060113400,P77,1.5
79,2018-03-23 01:54:55.510253500,P78,1.97
80,2018-03-23 01:54:58.385418000,P79,1.95
81,2018-03-23 01:55:01.246581600,P80,1.5
82,2018-03-23 01:55:03.666720100,P81,2.57
83,2018-03-23 01:55:07.143919000,P82,1.96
84,2018-03-23 01:55:10.016083200,P83,2.16
85,2018-03-23 01:55:13.234267300,P84,3.05
86,2018-03-23 01:55:17.218495200,P85,1.48
87,2018-03-23 01:55:19.624632800,P86,2.2
88,2018-03-23 01:55:22.724810100,P87,1.95
89,2018-03-23 01:55:25.597974500,P88,2.18
90,2018-03-23 01:55:28.824159000,P89,1.7
91,2018-03-23 01:55:31.465310100,P90,1.96
92,2018-03-23 01:55:34.342474600,P91,2.18
93,2018-03-23 01:55:37.468653400,P92,1.95
94,2018-03-23 01:55:40.331817200,P93,2.14
95,2018-03-23 01:55:43.611004700,P94,1.49
96,2018-03-23 01:55:46.022142700,P95,1.95
97,2018-03-23 01:55:48.938309500,P96,2.18
98,2018-03-23 01:55:52.014485400,P97,2.23
99,2018-03-23 01:55:55.143664400,P98,1.49
100,2018-03-23 01:55:57.578803700,P99,2.19
101,2018-03-23 01:56:00.677980900,P100,1.94
102,2018-03-23 01:56:03.524143700,P101,2.92
103,2018-03-23 01:56:07.421366600,P102,1.49
104,2018-03-23 01:56:09.801502800,P103,3.13
105,2018-03-23 01:56:13.847734200,P104,1.47
106,2018-03-23 01:56:16.233870700,P105,1.98
