pos,label,time,is_budding,area,max_rfp,median_rfp,mean_rfp,total_rfp,max_mean_9x,median_3x,zscore,mean_nucleic_intensity,median_nucleic_intensity,nucleic_area,total_nucleic,mean1,std1,mean2,std2
017,6,1,0,643.0,117,77.0,76.68584758942457,49309,87.32098765432099,74.28571428571429,1.8108317221105796,87.40384615384616,88.5,104,9090.0,69.97530574103885,6.53603230450568,81.81096037477725,5.8476651269559765
017,8,1,0,706.0,224,67.0,78.76487252124646,55608,160.93827160493828,63.44444444444444,7.174367356054004,89.01793721973094,103.0,223,19851.0,61.572974563967215,8.307104722876998,121.17119551109799,38.82984546285408
017,3,1,0,283.0,100,64.0,64.52650176678445,18261,72.6923076923077,64.0,0.42882813792977137,0.0,0.0,31,0.0,63.990050060761625,4.4587654996349615,65.90209416743559,9.022318007447153
017,6,2,0,654.0,120,76.0,75.87920489296636,49625,87.03703703703704,72.94444444444444,2.2541885261182544,85.34682080924856,87.0,173,14765.0,67.09032053258059,6.436557710926355,81.59953507224876,6.389846321350622
017,8,2,0,734.0,215,67.0,76.20708446866485,55936,151.4814814814815,62.375,6.602680660880786,82.65486725663717,102.0,226,18680.0,61.54709352982067,8.440202094322338,117.27505267192828,34.211078430100535
017,3,2,0,410.0,107,67.0,67.7560975609756,27780,77.375,67.55555555555556,1.367092560725639,42.55555555555556,59.0,27,1149.0,63.83669864271077,5.053758092676247,70.74565373491546,4.727232499813529
017,6,3,1,635.0,125,75.0,75.16692913385826,47731,86.91358024691358,73.0,1.0091539783068746,75.16692913385826,75.0,0,0.0,67.2607048321704,9.714871435722243,77.06450599026932,7.027995353776269
017,8,3,0,771.0,123,73.0,72.91569390402076,56218,89.46913580246914,69.72222222222223,2.1132612826358117,87.57462686567165,87.0,134,11735.0,64.86958732563122,7.160966587829488,80.00258076193995,7.157207238252268
017,3,3,0,477.0,135,69.0,69.49895178197065,33151,84.44444444444444,67.22222222222223,1.6975080990885618,83.41463414634147,86.0,41,3420.0,62.8343151205221,7.7046253582898245,75.91297906666219,7.857974550590695
017,1,3,0,75.0,85,58.0,59.13333333333333,4435,60.8,59.22222222222222,0.5420710352080271,59.13333333333333,58.0,0,0.0,56.961352744152286,6.023162088217162,60.226334452537905,2.5665857518577777
017,6,4,0,619.0,127,73.0,73.38126009693053,45423,85.0,71.11111111111111,1.5838491872216098,80.87,84.0,100,8087.0,65.42352930351034,6.863954492535479,76.29499804763877,5.930426316578888
017,8,4,0,773.0,121,77.0,75.94954721862872,58709,86.54320987654322,74.66666666666667,1.4958866015620722,93.0,94.0,52,4836.0,67.52742639043319,8.383354046694645,80.06797338503489,6.57381862944609
017,3,4,0,488.0,140,69.0,72.79303278688525,35523,105.5925925925926,64.78888888888889,3.520520621734789,106.37974683544304,107.0,79,8404.0,63.48891218909023,9.499382172050854,96.93168301953507,13.961771296064843
017,1,4,0,153.0,103,63.0,64.47712418300654,9865,69.9090909090909,64.05555555555556,1.4610434947200386,54.05555555555556,70.0,18,973.0,59.14469318811229,5.767015936616391,67.57055430625246,6.055628347642083
017,6,5,0,618.0,127,72.0,72.37864077669903,44730,102.0,69.33333333333333,1.2778893521076553,0.0,0.0,2,0.0,66.92671398486121,6.98572103233051,75.85369250887086,5.868703234273079
017,8,5,0,792.0,126,76.0,76.69570707070707,60743,87.91358024691358,75.44444444444444,1.3928326896088947,90.79166666666667,92.0,48,4358.0,68.57921422773815,8.012684784583993,79.73954352723854,6.485532647482652
017,3,5,0,537.0,154,69.0,73.77094972067039,39615,114.55555555555556,64.46527777777777,3.5333746310265295,112.0752688172043,112.0,93,10423.0,62.76818817861586,11.002840673594378,101.64534628392109,16.173154900657646
017,1,5,0,232.0,111,72.5,71.28017241379311,16537,85.0,70.19444444444446,1.2633429955155173,71.28017241379311,72.5,0,0.0,64.1982381237961,7.534335458654362,73.71668805135128,5.409700830585096
017,6,6,0,613.0,117,74.0,73.69331158238172,45174,92.0,71.16666666666667,1.925053293501075,79.55494505494505,83.0,182,14479.0,64.0861130550364,6.8870121246573985,77.34397842798997,6.225632964117668
017,8,6,1,794.0,127,76.0,76.61964735516372,60836,91.0,74.47222222222223,1.2266853138050167,76.61964735516372,76.0,0,0.0,70.78844198047561,8.102908703611952,80.72816108629924,6.434015257323678
017,3,6,0,577.0,169,68.0,73.89081455805892,42635,114.24691358024691,65.0,4.2411047724060085,59.81366459627329,89.0,161,9630.0,64.54611932573494,9.202774718967783,103.57605110572656,17.56750109193906
017,1,6,0,280.0,104,68.0,68.68928571428572,19233,75.69135802469135,66.88888888888889,0.15541132111032943,68.68928571428572,68.0,0,0.0,67.05008018578155,10.030345858500961,68.60890948684471,5.720157381726576
017,6,7,0,600.0,118,72.0,71.86333333333333,43118,86.55,69.55555555555556,1.748105957930161,79.87671232876713,85.0,73,5831.0,65.47293083125088,6.637604075763605,77.07616606247475,6.502386449798794
017,8,7,0,778.0,121,76.0,74.76992287917737,58171,92.0,73.55555555555556,1.8140131996165527,78.8,83.0,225,17730.0,65.51953435723168,7.223650398310298,78.62333152918193,5.5600609816370445
017,3,7,0,612.0,150,69.0,73.13725490196079,44760,112.88888888888889,65.0,4.615924991226511,66.09803921568627,88.0,204,13484.0,63.74608060056113,6.099672873181986,91.90171305418828,21.48172169767168
017,1,7,0,356.0,118,71.0,71.45786516853933,25439,79.4,69.88888888888889,1.4091644346108505,71.45786516853933,71.0,0,0.0,65.86171431488978,6.469478688926933,74.97827359379845,5.058115422728696
